2024-04-23 22:39:03	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2024-04-23 22:39:03	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2024-04-23 22:39:03	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2024-04-23 22:39:03	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2024-04-23 22:39:03	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2024-04-23 22:39:04	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2024-04-23 22:39:04	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2024-04-23 22:39:04	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2024-04-23 22:39:11	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2024-04-23 22:39:15	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2024-04-23 22:39:19	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2024-04-23 22:39:20	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2024-04-23 22:39:23	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2024-04-23 22:39:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2024-04-23 22:39:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2024-04-23 22:39:26	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2024-04-23 22:39:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2024-04-23 22:39:35	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2024-04-23 22:39:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2024-04-23 22:39:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2024-04-23 22:39:38	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2024-04-23 22:39:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2024-04-23 22:39:41	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2024-04-23 22:39:41	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2024-04-23 22:39:42	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2024-04-23 22:39:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
